,Datetime,Tweet Id,Text
0,2016-11-28 16:22:45+00:00,803272930247385089,"@p_finster The official story just doesn't make sense. Plus, one has to wonder why in many countries it's illegal to question it."
1,2016-11-28 16:21:29+00:00,803272612331679744,"@p_finster And then there's the changing Auschwitz numbers, and the Red Cross says far less than 6m Jews who died."
2,2016-11-28 16:20:15+00:00,803272300078530562,"@p_finster After extensive research into BOTH sides, I no longer believe that it happened. Just too many 'survivors' caught in lies, etc."
3,2016-11-28 16:18:55+00:00,803271967902232576,"@p_finster I used to believe all the stories, just like anybody else. But then I started researching it and found some things didn't add up."
4,2015-11-10 03:08:27+00:00,663916097716948992,The truth fears no investigation! No one should be locked up for asking questions. #WeAreUrsula
5,2015-09-29 01:30:04+00:00,648671047248510976,"@IntotheWoods132 I used to be sickened by it, too. But then I learned the truth."
6,2015-09-11 10:11:46+00:00,642279358867087361,Iran is not the enemy! https://t.co/YK2MOXjF51
7,2015-08-04 07:51:28+00:00,628473312855855104,"@HMarkwotan If all you can do is throw around insults, I'm done. Remember, YOU  asked ME to debate. I accepted, you backed out."
8,2015-08-04 00:20:32+00:00,628359831443800064,@HMarkwotan Clearly you know nothing about Hitler. You believe the lies told about him. He SUCCEEDED in his original mission!
9,2015-08-03 17:12:48+00:00,628252188867846145,@HMarkwotan If you hate Hitler so much why do you keep talking about the '4th Reich?'
10,2015-08-03 02:25:13+00:00,628028821548179456,"@HMarkwotan You invited me to debate, I accepted, and now YOU backed out because I'm American. Don't ask for a debate if you won't debate!"
11,2015-08-03 02:24:22+00:00,628028606648856576,"@HMarkwotan ...And this is why every single 'movement' fails. No unity, anywhere. As for white supremacy... http://t.co/JaHrWEsota"
12,2015-08-02 22:38:32+00:00,627971774064553985,"@HMarkwotan You said you wanted to debate me, and so I said, ok let's debate. All you've done since then is attack me. This isn't debating."
13,2015-08-02 22:26:01+00:00,627968622120562688,"@HMarkwotan Tell me, what do you believe in?"
14,2015-08-02 22:13:39+00:00,627965509095563264,@HMarkwotan Whatever dude. People like you make the REAL National Socialists look bad. http://t.co/Yjn5HMgygr
15,2015-08-02 21:40:55+00:00,627957271880863745,@HMarkwotan So are we debating the 'Hoax or not?
16,2015-08-02 21:23:50+00:00,627952973172244480,"@HMarkwotan Lmao are we debating the 'Hoax, or are you just going to attack me for what you believe my ancestors to be?"
17,2015-08-02 21:02:03+00:00,627947493897183233,"@HMarkwotan I'm an American, German ancestry."
18,2015-08-02 20:45:33+00:00,627943341263618048,"@HMarkwotan Ok, let's debate! Something specific you want to start off with? The 6m figure? Anne Frank? Gas chambers? Something else?"
19,2015-08-02 20:12:58+00:00,627935139482497025,'Shocking' Holocaust Study Claims Nazis Killed Up To 20 Million People http://t.co/JsWe6Q0Zv0 via @bi_contributors
20,2015-08-01 11:24:05+00:00,627439653822570496,APNewsBreak: Germany shelves Nazi crimes probe of US man http://t.co/NNiqsA6seN via @YahooNews
21,2015-07-30 22:14:43+00:00,626878616576618496,Wounded Veterans https://t.co/f0AlMZAWxC via @YouTube
22,2015-07-28 09:23:37+00:00,625959787616948224,http://t.co/3hLGnOoCHB
23,2015-07-25 10:59:49+00:00,624896830749437952,@MartinTheSpur @rustymanual84 @avibarr @patersonangus Including the Red Cross documents that say MUCH less than 6 mil Jews died?
24,2015-07-19 16:29:15+00:00,622805411360411648,I love it when people say I'm wrong but then refuse to actually debate me instead of using ad hominems and making excuses to avoid a debate.
25,2015-07-16 23:28:27+00:00,621823743145451520,@patersonangus Then I started studying a little more and realized that too many things with the 'official' story just didn't add up.
26,2015-07-16 23:27:36+00:00,621823529378574336,"@patersonangus If you can prove me wrong, then do it. I used to be just like you and believe it all."
27,2015-07-16 22:05:44+00:00,621802924616736768,@avibarr @MartinTheSpur @patersonangus But can you refute anything I've said?
28,2015-07-05 01:57:19+00:00,617512548661858304,@critiquekyle Actually I'm a National Socialist. Fascism is a different ideology.
29,2015-05-25 00:18:55+00:00,602629884419174400,@patersonangus The truth fears no investigation and does not require a law to protect it.
